prod_ID,prod_name,rating,userId
AV13O1A8GV-KLJ3akUyj,Pink Friday: Roman Reloaded Re-Up (w/dvd),5,joshua
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,5,dorothy w
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,rebecca
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,walker557
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,samantha
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,raeanne
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,kimmie
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,cassie
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,moore222
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,jds1992
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,bre234
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,gordy313
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,nicole
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,cvperez
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,beccagrl532
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,sanchez
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,3,ll24
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,3,browns fan
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,4,vero
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,4,jo276
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,ashley a
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,jp71
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,karen
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,warren
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,mas0814
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,amanda
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,birdwoman
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,michelle
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,jean z
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,vanessa mcnally
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,5alarm
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,4,danielle
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,shedove
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,cynthiacc
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,dfwatheartgirl
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",1,crissyx5
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",2,nyisha m
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",3,gardenbunny318
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,sasparilla
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,mkris18
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,momof2
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,mommyshappy8714
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,eyo
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,anonymous8589
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,jazzymom
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,ramona831
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,morgiana
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,alnscoob97
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,star33
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,jacmary
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,mabelle
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,kayc
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,jen717
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,piggyboy420
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,darklin
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,docless82
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,sash
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,jharris20
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,sewinglover
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,kikkle
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,mylifeinheels
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,leni
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,silvereagle
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,fedfan5
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,milo36
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,sarahanne
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,hawkjr
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,ladyjenn
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,sharonkaye
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,marsh
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,mel1234
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,mylifeinheels
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,nannygranny
